"","Phenotype_Name","Phenotype_Discription","Phenotype_Symptoms","Phenotype_Treatment","Phenotype_Age","Phenotype_Gender","Phenotype_Number"
"1338","Ring chromosome 22 syndrome","Ring chromosome 22 syndrome is a breakage at the ends of the chromosome that has fused together to form a ring. This genetic defect can have various symptoms based on the extent of the break. Some findings are mental retardation, decreased muscle tone, and lack of coordination.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Duloxetine","<20;3;20s;0;30s;4;40s;0;50s;0;60s;0;70+;0","Female=50%;Male=50%",1338
"1339","Fat pad knee impingement","Fat pad knee impingement can occur when the padding of fat protecting the kneecap (patella) becomes swollen and inflamed due to an injury or overuse of the knee. The bottom tip of the kneecap can pinch the fat pad and cause pain to the knee.","Pain;Depressed mood;Fatigue;Insomnia;Anxious mood","Acetaminophen (Paracetamol);Zolpidem","<20;0;20s;2;30s;0;40s;1;50s;1;60s;1;70+;0","Female=100%;Male=0%",1339
"1340","Subacute cutaneous lupus erythematosus","Subacute cutaneous lupus erythematosus (SCLE) is a variant of systemic lupus erythematosus. The body's immune system mistakenly attacks healthy skin tissue. Factors such as skin exposure, and certain drugs may exacerbate the condition. A common symptom of SCLE are skin lesions that are scaly.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Hydroxychloroquine;
more
;Tramadol;Azathioprine;Chloroquine;Hydrocodone-Acetaminophen;Lorazepam;Sertraline;Acupuncture;Alprazolam;Aquatic Therapy Exercises","<20;2;20s;50;30s;168;40s;362;50s;271;60s;114;70+;12","Female=98%;Male=2%",1340
"1341","Liddle's syndrome","Liddle syndrome is an autosomal dominant disorder characterized by early, and frequently severe, hypertension associated with hypokalemic metabolic alkalosis, low plasma renin activity, and suppressed aldosterone secretion.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","Alprazolam;Amiloride;Massage Therapy;Oxycodone;Prednisone;Triamterene;Zolpidem","<20;0;20s;4;30s;5;40s;4;50s;4;60s;2;70+;0","Female=83%;Male=17%",1341
"1342","Glucose 6 phosphate dehydrogenase deficiency","Glucose 6 phosphate dehydrogenase(G6PD) deficiency is an inherited (genetic) condition in which the red blood cells breakdown (hemolysis) in reaction to stress, infections, certain drugs, and certain foods. The body does not have enough G6PD enzyme to support proper red blood cell functions.","Fatigue;Insomnia;Pain;Depressed mood;Anxious mood","Armodafinil","<20;0;20s;4;30s;5;40s;6;50s;3;60s;2;70+;0","Female=39%;Male=61%",1342
"1343","Sclerosing mesenteritis","Sclerosing mesenteritis is a rare condition, its cause is unknown. It is the inflammation of the membranous tissue that surrounds and connects the small bowel (mesentery) to the abdominal wall. Symptoms include abdominal pain and possibly a small non-cancerous mass.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","","<20;0;20s;1;30s;0;40s;3;50s;3;60s;1;70+;5","Female=62%;Male=38%",1343
"1344","Central serous choroidopathy","Central serous choroidopathy is an eye condition where leakage of blood vessels from the retinal pigment epithelium (area under the retina) builds up and can cause detachment of the layers of the retina. Symptoms include temporary or permanent impaired vision.","Fatigue;Insomnia;Depressed mood;Pain;Anxious mood","Meloxicam","<20;0;20s;0;30s;4;40s;5;50s;3;60s;3;70+;0","Female=38%;Male=63%",1344
"1345","Weber C fracture","A Weber C fracture occurs in the ankle and occurs above the syndesmosis ligament. A broken ankle is not stable and will require the joint to be set in correct alignment either by manual manipulation or by surgical intervention.","Depressed mood;Pain;Fatigue;Insomnia;Anxious mood","","<20;0;20s;1;30s;3;40s;1;50s;0;60s;0;70+;2","Female=75%;Male=25%",1345
"1346","Compartment syndrome","Compartment syndrome occurs when pressure within the muscles builds it can lead to compression of nerves, blood vessels, and muscle inside a closed space. The increased pressure can decrease blood flow and inhibit oxygen from reaching nerve and muscle cells.","Pain;Anxious mood;Fatigue;Insomnia;Depressed mood","Trazodone;Amitriptyline;Clonazepam;Oxycodone;Paroxetine","<20;0;20s;7;30s;6;40s;5;50s;3;60s;4;70+;0","Female=63%;Male=38%",1346
"1347","Wrist sprain","A wrist sprain is a common injury. There are many ligaments in the wrist that can be stretched or torn, resulting in a sprain. This occurs when the wrist is bent forcefully, such as in a fall onto an outstretched hand.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Cyclobenzaprine;Hydrocodone-Acetaminophen;Mirtazapine;Tramadol;Acetaminophen (Paracetamol);Alprazolam;Aromatherapy;Aspirin;Buspirone;Cariprazine","<20;0;20s;4;30s;4;40s;18;50s;8;60s;6;70+;0","Female=78%;Male=23%",1347
"1348","Histoplasmosis","Histoplasmosis is a disease caused when airborne spores of the fungus Histoplasma capsulatum are inhaled into the lungs. The spores of the fungus are often found in soil and becomes airborne when the soil is disturbed. Symptoms include, fever, chills, muscle aches, chest pains, and a dry cough.","Fatigue;Anxious mood;Pain;Depressed mood;Insomnia","Itraconazole;Clonazepam;Fluoxetine;Ginseng;Meloxicam;Methylfolate (l-methylfolate)","<20;2;20s;4;30s;2;40s;4;50s;13;60s;6;70+;1","Female=72%;Male=28%",1348
"1349","Cleft palate","Cleft palate is an opening in the roof of the baby's mouth (palate). Abnormal development occurs during pregnancy, leaving an opening (cleft) in the palate and possibly extending into the nasal cavity. A cleft can form on one side or both sides of the palate.","Depressed mood;Fatigue;Anxious mood;Insomnia;Pain","Alprazolam;Escitalopram;Mirtazapine;Nortriptyline;Tramadol","<20;2;20s;7;30s;9;40s;4;50s;3;60s;1;70+;1","Female=71%;Male=29%",1349
"1350","Lichen simplex chronicus","Lichen simplex chronicus is a skin disorder that leads to chronic itching and scratching. The repetitive scratching or rubbing eventually thickens the skin. It can look leathery, brownish, and scaly in the affected area.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Clobetasol topical;Doxepin;
more
;Oxycodone-acetaminophen;Tramadol;Triamcinolone topical","<20;1;20s;2;30s;0;40s;2;50s;4;60s;4;70+;0","Female=69%;Male=31%",1350
"1351","Spinal hemangioma","A spinal hemangioma is a non cancerous (benign) tumor that involves the body of the vertebra. It is usually found in the upper back (thoracic) and lower back (lumbar) region. The symptoms and treatment can vary based on location and size of the tumor.","Fatigue;Pain;Depressed mood;Insomnia;Anxious mood","Alprazolam;Meloxicam;Oxycodone;
more
;Acetaminophen (Paracetamol);Buprenorphine;Cannabis;Chiropractic Therapy;Diclofenac;Diphenhydramine;Dronabinol","<20;1;20s;1;30s;10;40s;14;50s;20;60s;10;70+;3","Female=82%;Male=18%",1351
"1352","Vulvar intraepithelial neoplasia","Vulvar intraepithelial neoplasia is a precancerous skin lesion of the vulva. Symptoms include itching, burning, thickened skin and discoloration. It may go away or may develop into cancer over time.","Fatigue;Anxious mood;Depressed mood;Pain;Insomnia","","<20;0;20s;1;30s;2;40s;3;50s;4;60s;1;70+;1","Female=100%;Male=0%",1352
"1353","Mal de debarquement syndrome","Mal de Debarquement Syndrome (or MdDS) is an imbalance or rocking/swaying sensation often both ""felt"" and ""seen"" by the sufferer that occurs after exposure to motion (most commonly after a sea cruise or a flight); it is also sometimes called space motion syndrome.","Cognitive impairment;Fatigue;Imbalance when walking;Sensation of motion;Anxious mood;Depressed mood;Insomnia;Pain","Diclofenac;Hydrocodone-Acetaminophen;
more
;Ibuprofen","<20;0;20s;1;30s;5;40s;7;50s;17;60s;6;70+;5","Female=88%;Male=12%",1353
"1354","Congenital afibrinogenemia","Congenital afibrinogenemia is an inherited (genetic) blood disorder in which the blood doesn't clot normally because there is a lack of blood clotting factor I. Therefore patients are at a higher risk for bleeding. Symptoms include bruising, and excessive bleeding after surgery or injury.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","","<20;0;20s;0;30s;0;40s;0;50s;2;60s;3;70+;0","Female=80%;Male=20%",1354
"1355","Cerebellar ataxia","Cerebellar ataxia is the loss of muscle coordination due to disease or injury to the cerebellum in the brain.","Fatigue;Anxious mood;Depressed mood;Insomnia;Pain","Hydrocodone-Acetaminophen;Acetaminophen (Paracetamol);Amitriptyline;Buspirone;Diazepam;Escitalopram;Hydromorphone;IV hydration;Naltrexone;Neuromuscular Electrical Stimulation","<20;4;20s;5;30s;16;40s;25;50s;44;60s;47;70+;17","Female=59%;Male=41%",1355
"1356","Homonymous hemianopia","Homonymous hemianopia refers to a visual defect that affects both eyes equally, and occurs either to the left or right of the midline of the visual field.","Anxious mood;Insomnia;Depressed mood;Fatigue;Pain","Ibuprofen","<20;0;20s;0;30s;1;40s;7;50s;6;60s;2;70+;1","Female=59%;Male=41%",1356
"1357","Visceroptosis","Visceroptosis is a condition in which the abdominal organs fall to a lower part of the abdomen. The internal organs can be compressed and displaced by poor posture, the enlarging womb of pregnancy, and a variety of other factors.","Anxious mood;Fatigue;Insomnia;Pain;Depressed mood","","<20;0;20s;0;30s;4;40s;2;50s;1;60s;0;70+;0","Female=57%;Male=43%",1357
"1358","Macular edema","Macular edema is swelling of the macula, the small area of the retina responsible for central vision, of which the central 5% of the retina is most critical to vision. The edema is caused by fluid leaking from retinal blood vessels.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Alprazolam;Amitriptyline;Amphetamine-Dextroamphetamine;Bupropion;Duloxetine;Fluoxetine;Hydrocodone-Acetaminophen;Lorazepam;Meloxicam;Methylphenidate","<20;1;20s;0;30s;8;40s;7;50s;6;60s;14;70+;5","Female=68%;Male=32%",1358
"1359","Laryngeal dysplasia","Laryngeal dysplasia is the presence of abnormal tissue in the larynx. The larynx is the portion of the breathing, or respiratory tract containing the vocal cords which produce vocal sound.","Pain;Anxious mood;Depressed mood;Fatigue;Insomnia","","<20;0;20s;2;30s;2;40s;0;50s;0;60s;0;70+;0","Female=50%;Male=50%",1359
"1360","Diastematomyelia","Diastematomyelia is a rare congenital anomaly that results in the ""splitting"" of the spinal cord in a longitudinal (sagittal) direction. It may be an isolated phenomenon or may be associated with other segmental anomalies of the vertebral bodies.","Fatigue;Pain;Depressed mood;Anxious mood;Insomnia","","<20;1;20s;0;30s;4;40s;1;50s;2;60s;1;70+;0","Female=78%;Male=22%",1360
"1361","Salivary gland cancer","Salivary gland cancer is a rare disease in which cancer cells form in the tissues of the salivary glands which make saliva and release it into the mouth. There are 3 pairs of major salivary glands including parotid (near the ears), sublingual (below the tongue) and submandibular (below the jaw).","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Clonazepam;Codeine;Radiation Therapy;
more
","<20;0;20s;1;30s;0;40s;2;50s;2;60s;6;70+;1","Female=75%;Male=25%",1361
"1362","Impetigo","Impetigo is a bacterial skin infection caused by streptococcus (strep), staphylococcus (staph) or methicillin resistant staph aureus (MRSA). A break in the skin can introduce bacteria to the body, causing inflammation and infection.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","","<20;1;20s;2;30s;3;40s;3;50s;1;60s;4;70+;0","Female=71%;Male=29%",1362
"1363","Iliac vein compression syndrome","Iliac vein compression syndrome is caused when the left iliac vein is compressed by the right iliac artery, which increases the risk of a blood clot or deep vein thrombosis (DVT) in the left extremity.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Ibuprofen;Acetaminophen (Paracetamol);Amitriptyline;Diphenhydramine;Escitalopram;Gabapentin;Magnetic Resonance Angiogram (MRA);Medical marijuana;Meloxicam;MRV Magnetic resonance venography","<20;0;20s;2;30s;5;40s;5;50s;1;60s;2;70+;2","Female=89%;Male=11%",1363
"1364","Abdominal migraine","Abdominal migraine is characterized by pain that occurs in the belly, near the navel or midline. Typically, this occurs in children who have a family history of migraines and go on to develop typical migraine later in life. Symptoms include nausea, vomiting, pallor, and anorexia.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Clonazepam;Duloxetine;
more
;Ibuprofen;
more
;Modafinil;Propranolol;5-Hydroxytryptophan (5-HTP);Acupuncture;Alprazolam;Amphetamine-Dextroamphetamine;Aripiprazole","<20;5;20s;6;30s;8;40s;7;50s;5;60s;1;70+;0","Female=88%;Male=13%",1364
"1365","Colloid cysts","Colloid cysts are noncancerous (benign) congenital brain tumors. These cysts can be problematic because of their location and size. The tumors usually become symptomatic in adult patients ages 20-50 years.","Anxious mood;Fatigue;Pain;Depressed mood;Insomnia","Armodafinil;Desvenlafaxine;Escitalopram;Gabapentin;Medical marijuana;Modafinil;Oxycodone;Pregabalin;Quetiapine","<20;1;20s;1;30s;0;40s;10;50s;2;60s;3;70+;0","Female=65%;Male=35%",1365
"1366","Splenomegaly","Splenomegaly is an enlarged spleen. The spleen is tucked under the left rib cage next to the stomach. It functions are to filter out and destroy damaged blood cells, prevent infection, produce white blood cells, and store red blood cells. These functions are impaired if the spleen is enlarged.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Alprazolam;Bupropion;Clonidine;Codeine-acetaminophen (paracetamol);Cranial Electrode Stimulus;Gabapentin;Hydrocodone ER;Massage Therapy;Pain Therapist;Phentermine","<20;2;20s;3;30s;5;40s;12;50s;8;60s;6;70+;1","Female=81%;Male=19%",1366
"1367","Lofgren syndrome","Löfgren's syndrome is a benign form of acute sarcoidosis. It involves a group of conditions: hilar lymphadenopathy (enlargement of mediastinal lymph nodes), erythema nodosum (inflammation of the fat cells under the skin), arthritis or arthralgias (joint pain), and fever.","Anxious mood;Pain;Depressed mood;Fatigue;Insomnia","","<20;0;20s;0;30s;1;40s;3;50s;1;60s;1;70+;1","Female=100%;Male=0%",1367
"1368","Intestinal lymphoma","Intestinal lymphoma is cancer of the small intestines. It is a rare form of gastrointestinal cancer which originates from the lymph nodes.","Fatigue;Anxious mood;Depressed mood;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;1;50s;1;60s;1;70+;1","Female=50%;Male=50%",1368
"1369","Asherman syndrome","Asherman's Syndrome, or intrauterine adhesions or synechiae, is an acquired uterine condition, characterized by the formation of adhesions (scar tissue) inside the uterus.","Fatigue;Pain;Depressed mood;Anxious mood;Insomnia","Cyclobenzaprine","<20;0;20s;1;30s;2;40s;4;50s;0;60s;0;70+;0","Female=86%;Male=14%",1369
"1370","Cerebral venous thrombosis","Cerebral venous thrombosis is a type of stroke. It is a blood clot that is located in the brain. This usually affects young adults. The most common symptom is a headache.","Pain;Depressed mood;Fatigue;Anxious mood;Insomnia","Pantoprazole;Pregabalin;Valproate Sodium;Warfarin","<20;0;20s;3;30s;7;40s;5;50s;8;60s;2;70+;0","Female=88%;Male=12%",1370
"1371","Bacterial conjunctivitis","Bacterial conjunctivitis is an infection of the membrane lining the eyelids (conjunctiva).","Anxious mood;Pain;Fatigue;Depressed mood;Insomnia","Acupuncture;Alprazolam;Armodafinil;
more
;Azithromycin;Contact Lenses;Erythromycin ophthalmic;Ibuprofen Prescription;Lidocaine patch;Melatonin;Polymyxin B-Trimethoprim ophthalmic;
more
","<20;0;20s;2;30s;3;40s;1;50s;5;60s;2;70+;1","Female=86%;Male=14%",1371
"1372","Vitamin C deficiency anemia","Vitamin C Deficiency Anemia is a severe lack of vitamin C (ascorbic acid) in your diet. It can cause weakness, anemia, gum disease, and skin hemorrhages. This condition usually occurs in malnourished adults.","Depressed mood;Fatigue;Insomnia;Pain;Anxious mood","Carpal Tunnel Surgery;NatureMade Super B-Complex;Vitamin D3 (calcitriol)","<20;0;20s;1;30s;2;40s;5;50s;5;60s;2;70+;0","Female=86%;Male=14%",1372
"1373","Pseudomeningocele","A pseudomeningocele is an abnormal collection of cerebrospinal fluid (CSF) that has leaked into the soft tissue space around the brain or spinal cord.This can be caused by trauma, surgery, or a birth defect.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;1;50s;1;60s;1;70+;1","Female=50%;Male=50%",1373
"1374","Schwannoma of spinal cord","Schwannoma, also known as neurilemmoma, is usually a benign nerve sheath (nerve covering) tumor composed of Schwann cells. The tumor can compress nearby nerves and causes pain, weakness, and decreased sensation.","Fatigue;Depressed mood;Insomnia;Pain;Anxious mood","Melatonin","<20;0;20s;1;30s;5;40s;5;50s;8;60s;2;70+;2","Female=74%;Male=26%",1374
"1375","Hypertensive retinopathy","Hypertensive retinopathy is damage to the retina from high blood pressure. The high blood pressure changes the microvasculature of the layer of tissue at the back part of the eye. Severe damage to the eye is likely if the person has been living with high blood pressure for a long period of time.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Eye exam","<20;1;20s;0;30s;2;40s;0;50s;3;60s;3;70+;0","Female=78%;Male=22%",1375
"1376","Vanishing white matter disease","Vanishing White Matter Disease (VWM) is an inherited condition; it is a progressive neurological deterioration of the myelin sheath (white matter). It allows for electrical signals to communicate between neurons. Decreased electrical signals disrupt the proper functioning of the nervous system.","Depressed mood;Fatigue;Insomnia;Anxious mood;Pain","","<20;1;20s;1;30s;2;40s;1;50s;1;60s;1;70+;0","Female=71%;Male=29%",1376
"1377","Tenosynovitis","Tenosynovitis is the inflammation of the fluid-filled sheath (synovium) that surrounds a tendon (tough band that usually connects muscle to bone). It can result from infection, injury, overuse, or strain. Some symptoms include pain, swelling, and difficulty with movement.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Diclofenac;Venlafaxine;
more
;Amphetamine-Dextroamphetamine;
more
;Ibuprofen;Lorazepam;Naproxen OTC;Acetaminophen (Paracetamol);Amitriptyline;Armodafinil;Buprenorphine-Naloxone","<20;0;20s;0;30s;3;40s;16;50s;13;60s;9;70+;0","Female=78%;Male=22%",1377
"1378","Andropause","Andropause or ""male menopause"" is the steady decrease in testosterone production as men age.","Depressed mood;Fatigue;Pain;Anxious mood;Insomnia","Aripiprazole","<20;0;20s;0;30s;0;40s;0;50s;2;60s;1;70+;1","Female=0%;Male=100%",1378
"1379","Accessory navicular syndrome","In the child, the bones of the foot occasionally develop abnormally and an extra bone called an accessory navicular is present towards the inside of the foot, in front of the ankle.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","Osteotomy of foot;Physical Therapy;Walking Stick/Cane","<20;0;20s;2;30s;2;40s;7;50s;2;60s;1;70+;0","Female=93%;Male=7%",1379
"1380","Laryngopharyngeal reflux","Laryngopharyngeal reflux, or LPR, is the backflow of stomach contents up the esophagus through the upper esophageal sphincter into the pharynx, larynx, and lungs.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Naproxen Prescription;Omeprazole;Amitriptyline;Citalopram;Diclofenac;Escitalopram;Hydrocodone-Acetaminophen;Pantoprazole;Stopped work (left job);Acetaminophen-butalbital","<20;1;20s;14;30s;14;40s;28;50s;27;60s;19;70+;6","Female=74%;Male=26%",1380
"1381","Megacystic microcolon hypoperistalsis syndrome","Megacystis microcolon intestinal hypoperistalsis syndrome (MMIHS) is a congenital condition characterized by intestinal obstruction and unobstructed urinary bladder and decreased muscle tone in the bowel and urinary tract.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;1;20s;0;30s;0;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",1381
"1382","Sinus tarsi syndrome","Sinus tarsi syndrome is pain to the outside of the foot/ankle joint. It is commonly attributed to an ankle sprain or repetitive strain from outward rolling of the foot. This stretches the structures in the rearfoot and causes pain and tenderness in sinus tarsus.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Clonazepam;Duloxetine;
more
","<20;0;20s;0;30s;4;40s;0;50s;0;60s;3;70+;0","Female=29%;Male=71%",1382
"1383","Urosepsis","Urosepsis is a term used imprecisely to denote infection ranging from urinary tract infection to generalized sepsis which may result from such infection.","Pain;Fatigue;Insomnia;Anxious mood;Depressed mood","Buprenorphine;Buprenorphine patch;Hydrocodone-Acetaminophen;Medication Management","<20;0;20s;0;30s;1;40s;3;50s;2;60s;2;70+;1","Female=100%;Male=0%",1383
"1384","Distal arthrogryposis","Distal arthrogryposis syndrome is a rare genetic disorder in which affected individuals are born with a characteristic bending at the joints of the hands and feet. A contracture is the word used to describe what happens at the joints to cause this bending.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","","<20;0;20s;1;30s;1;40s;1;50s;1;60s;0;70+;1","Female=80%;Male=20%",1384
"1385","Carotidynia","Carotidynia is the syndrome characterized by one sided head and neck pain. There is a dilatation of extracranial arteries on the affected side. The cause is unknown and not much is not well known and understood about the condition.","Pain;Fatigue;Anxious mood;Insomnia;Depressed mood","Ibuprofen","<20;0;20s;2;30s;4;40s;21;50s;18;60s;5;70+;0","Female=86%;Male=14%",1385
"1386","Metastatic melanoma","Malignant melanoma is a form of skin cancer that is metastatic when it spreads spreads to another location. Staging is used to identify the extent of the disease. Stages I and II describe local metastases, whereas Stages III and IV describe the presence of local and distant metastases.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","Fluoxetine;Lung wedge resection;Skin excision","<20;0;20s;1;30s;7;40s;16;50s;11;60s;29;70+;19","Female=62%;Male=38%",1386
"1387","Familial amyloidosis","Amyloidosis is a group of diseases in which protein is deposited locally in specific organs or throughout the body. Hereditary amyloidosis is an inherited form passed down in families that often affects the central nervous system and kidneys.","Anxious mood;Pain;Fatigue;Insomnia;Depressed mood","","<20;0;20s;2;30s;0;40s;2;50s;2;60s;2;70+;5","Female=71%;Male=29%",1387
"1388","Post intensive care unit syndrome","Post ICU syndrome is a type of organic brain syndrome characterized by psychological reactions, including fear, anxiety, depression, hallucinations, and delirium. It is attributed to the unique 24/7 ICU environment where there is harsh stimuli, unfamiliar people, and ongoing activity.","Anxious mood;Fatigue;Insomnia;Pain;Depressed mood","","<20;0;20s;2;30s;1;40s;3;50s;0;60s;3;70+;1","Female=70%;Male=30%",1388
"1389","Palmoplantar Psoriasis","Psoriasis is a genetically determined, chronic, inflammatory skin disease characterized by rounded red patches or plaques covered by white silvery scales. The chronic disease fluctuates with exacerbations and remissions. Palmoplantar psoriasis is localized to the hands and feet.","Pain;Anxious mood;Depressed mood;Fatigue;Insomnia","","<20;0;20s;1;30s;0;40s;3;50s;1;60s;2;70+;1","Female=75%;Male=25%",1389
"1390","Multiple endocrine neoplasia type 1","Multiple endocrine neoplasia type 1 are inherited tumors with various involvement of endocrine and nonendocrine organs such as the, parathyroid, pituitary, skin, and pancreas. Treatment options will vary based on the presentation of the condition.","Fatigue;Depressed mood;Insomnia;Pain;Anxious mood","","<20;0;20s;5;30s;5;40s;7;50s;7;60s;2;70+;0","Female=85%;Male=15%",1390
"1391","Alopecia universalis","Alopecia universalis is an autoimmune condition of total loss of hair over the entire scalp and body, including eyebrows and eyelashes.  The immune system mistakenly attacks the hair follicles and as a result no hair can grow.","Depressed mood;Anxious mood;Fatigue;Pain;Insomnia","Duloxetine;Tramadol","<20;0;20s;3;30s;6;40s;8;50s;7;60s;6;70+;1","Female=64%;Male=36%",1391
"1392","Nonverbal learning disability","Non verbal learning disability (NLD) is a condition characterized by difficulty or deficits in motor skills, visual-spatial organization, reading comprehension, and social skills. Some other characteristics include early development of memory, reading and spelling skills.","Fatigue;Anxious mood;Pain;Depressed mood;Insomnia","Alprazolam;Amitriptyline;Aripiprazole;Diazepam;Escitalopram;Etifoxine;Hydroxyzine;Neuromuscular Electrical Stimulation;Pregabalin;Speech / Language Therapy","<20;7;20s;15;30s;9;40s;11;50s;6;60s;1;70+;1","Female=62%;Male=38%",1392
"1393","Zenker's diverticulum","Zenker’s diverticulum is an outpouching or sac formation that is created by herniation of a muscle wall in the back of the throat (pharynx), above the upper esophageal sphincter. Symptoms include difficulties in swallowing, bad breath, and regurgitation of undigested food.","Anxious mood;Depressed mood;Pain;Fatigue;Insomnia","","<20;0;20s;2;30s;0;40s;2;50s;2;60s;2;70+;3","Female=73%;Male=27%",1393
"1394","Klippel-Feil syndrome","Klippel Feil Syndrome is characterized as a short, webbed neck; restricted motion in the neck region (cervical spine); and a low hairline (back of head). Type I is a massive fusion of the cervical spine, type 2 is the fusion of 1 or 2 vertebrae, and type 3 includes thoracic/lumbar spine deformities.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Duloxetine;Ibuprofen;Valerian;Venlafaxine","<20;3;20s;1;30s;9;40s;5;50s;11;60s;2;70+;1","Female=91%;Male=9%",1394
"1395","Ebstein's anomaly","Ebstein's anomaly is a congenital (from birth) heart defect characterized by the abnormal formation of the tricuspid (heart) valve. This decreases the heart's efficiency.The tricuspid valve separates the right lower heart chamber (right ventricle) from the right upper heart chamber (right atrium).","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;2;40s;1;50s;1;60s;1;70+;0","Female=67%;Male=33%",1395
"1396","Sanfilippo syndrome","Sanfilippo syndrome is an inherited metabolic disorder caused by missing or defective enzymes required to break down sugar chains into simpler molecules.  This results in damage to organs, physical limitations and mental development. There are 4 types (types A-D) based on the enzyme deficiency.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;4;20s;2;30s;2;40s;1;50s;1;60s;0;70+;0","Female=33%;Male=67%",1396
"1397","Familial juvenile hyperuricemic nephropathy","Familial juvenile hyperuricemic nephropathy is an inherited disease of the kidneys, characterized by gout, kidney failure, decreased concentration of uric acid in the urine and increased concentration of uric acid in the blood. The age of onset is during the teenage years.","Anxious mood;Fatigue;Insomnia;Depressed mood;Pain","","<20;0;20s;0;30s;0;40s;2;50s;3;60s;3;70+;0","Female=44%;Male=56%",1397
"1398","Microvascular angina","Microvascular angina is a condition characterized by inadequate blood flow through the small blood vessels. This results in decreased oxygen to the heart muscle and chest pain. These patients do not have coronary artery disease. This condition is more common in postmenopausal women.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Nitroglycerin;Ranolazine;Amantadine;Amlodipine;Bupropion;Duloxetine;Quetiapine;Trazodone","<20;0;20s;3;30s;2;40s;8;50s;16;60s;12;70+;4","Female=70%;Male=30%",1398
"1399","Wolf-Hirschhorn syndrome","Wolf-Hirschhorn syndrome is due to a specific chromosomal deletion (4p-) which is the cause of typical facial features and developmental delays. Some symptoms include a small head size (microcephaly), ""Greek helmet like"" nose shape, wide spaced eyes (hypertelorism), and mental retardation.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;1;30s;3;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",1399
"1400","Cricoarytenoid arthritis","Cricoarytenoid arthritis is essentially rheumatoid arthritis in the cricoarytenoid joint (CJ) between the cricoid and arytenoid cartilages in the back wall of the larynx. The CJ changes the tone of the voice by rotating as the vocal chords vibrate.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","","<20;0;20s;0;30s;0;40s;0;50s;3;60s;0;70+;0","Female=67%;Male=33%",1400
"1401","Ascending cholangitis","Ascending cholangitis is an infection of the biliary tree, most commonly caused by obstruction. It is also known as simply cholangitis.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","Amitriptyline;Carpal Tunnel Surgery;Diclofenac;Melatonin","<20;0;20s;0;30s;0;40s;0;50s;2;60s;0;70+;2","Female=75%;Male=25%",1401
"1402","Conn's syndrome","Conn's syndrome is a disease of the adrenal glands involving excess production of a hormone, called aldosterone. Another name for the condition is primary hyperaldosteronism.","Fatigue;Anxious mood;Depressed mood;Pain;Insomnia","Clonazepam;Ibuprofen;Naproxen OTC","<20;0;20s;0;30s;4;40s;8;50s;9;60s;6;70+;2","Female=66%;Male=34%",1402
"1403","Kawasaki disease","Kawasaki disease is a rare condition in children that involves inflammation of the blood vessels.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","Echocardiogram","<20;2;20s;2;30s;3;40s;0;50s;1;60s;0;70+;0","Female=25%;Male=75%",1403
"1404","Oral lichen planus","Oral lichen planus is a recurrent chronic inflammatory disorder that affects the inside of the mouth characterized by itchy white patches, lesions, red swollen tissue, or open sores.","Pain;Fatigue;Anxious mood;Depressed mood;Insomnia","Aripiprazole;Citalopram;Clobetasol topical;Clonazepam;Ibuprofen;Methylphenidate;Oxycodone-acetaminophen;Ramelteon;Selegiline;Sertraline","<20;0;20s;0;30s;3;40s;2;50s;8;60s;13;70+;5","Female=85%;Male=15%",1404
